_id,address,dir,end_date,flash_speed,geometry,min_speed,schedule,sign_id,sign_name,speed_limit,start_date,strobe_speed,ward_no
85,1480 Bloor Street West,WB,,41,"{u'type': u'Point', u'coordinates': (-79.4505424948, 43.6569126948)}",30,Weekdays from 12 AM,552,Bloor St W WB ,40,2017-02-24T10:00:00,46.0,4
86,2447 Dundas Street West ,SB,,41,"{u'type': u'Point', u'coordinates': (-79.4534178229, 43.6591869669)}",30,Weekdays from 12 AM,586,Dundas St W SB ,40,2016-11-17T13:00:00,46.0,4
87,2269 Dundas Street West ,NB,,41,"{u'type': u'Point', u'coordinates': (-79.4521196337, 43.6548634474)}",30,Weekdays from 12 AM,643,Dundas St W NB ,40,2016-12-15T11:00:00,46.0,4
88,29 Jane Street,NB,,41,"{u'type': u'Point', u'coordinates': (-79.484749, 43.650243)}",30,Weekdays from 7 AM - 9 PM,670,Jane St NB ,40,2018-01-16T10:00:00,46.0,4
89,148 Varsity Road,EB,2020-03-27T13:00:00,31,"{u'type': u'Point', u'coordinates': (-79.500928, 43.662937)}",20,Weekdays from 7 AM - 9 PM,725,Varsity Rd EB ,30,2018-01-22T11:00:00,36.0,4
90,109 Jameson Avenue,NB,2020-03-09T13:00:00,41,"{u'type': u'Point', u'coordinates': (-79.435318, 43.635557)}",5,Weekdays from 7 AM - 9 PM,888,Jameson Ave NB ,40,2019-12-19T13:00:00,46.0,4
91,8 Saint Mark's Road,WB,,31,"{u'type': u'Point', u'coordinates': (-79.489842, 43.660301)}",20,Weekdays from 7 AM - 9 PM,1000,St Marks Rd WB ,30,2018-11-02T12:00:00,36.0,4
92,440 Runnymede Road,SB,,41,"{u'type': u'Point', u'coordinates': (-79.478956, 43.65732)}",5,Weekdays from 7 AM - 9 PM,1976,Runnymede Rd SB ,40,2020-03-05T12:00:00,46.0,4
93,78 Thurodale Avenue,WB,,41,"{u'type': u'Point', u'coordinates': (-79.499215, 43.702312)}",30,Weekdays from 7 AM - 9 PM,23,Thurodale Ave WB ,40,2019-04-03T10:00:00,46.0,5
94,11 Duckworth Street,NB,,41,"{u'type': u'Point', u'coordinates': (-79.499714, 43.70264)}",30,Weekdays from 7 AM - 9 PM,74,Duckworth St NB ,40,2019-03-11T08:00:00,46.0,5
95,218 Bicknell Avenue,NB,,41,"{u'type': u'Point', u'coordinates': (-79.476592, 43.688155)}",30,Weekdays from 7 AM - 9 PM,100,Bicknell Ave NB ,40,2019-01-03T15:00:00,46.0,5
96,75 Emmett Avenue,WB,,41,"{u'type': u'Point', u'coordinates': (-79.504856, 43.686968)}",30,Weekdays from 7 AM - 9 PM,115,Emmett Ave WB ,40,2019-03-07T10:00:00,46.0,5
97,50 Leigh Street,EB,2018-11-22T18:00:00,41,"{u'type': u'Point', u'coordinates': (-79.478635, 43.675533)}",30,Weekdays from 7 AM - 9 PM,136,McCormack Ave EB ,40,2018-01-22T11:00:00,46.0,5
98,197 Bicknell Avenue,SB,,41,"{u'type': u'Point', u'coordinates': (-79.475825, 43.686837)}",30,Weekdays from 7 AM - 9 PM,141,Bicknell Ave SB ,40,2019-01-03T14:00:00,46.0,5
99,91 Emmett Avenue,EB,,41,"{u'type': u'Point', u'coordinates': (-79.508405, 43.686837)}",30,Weekdays from 7 AM - 9 PM,186,Emmett Ave EB ,40,2019-03-07T10:00:00,46.0,5
100,49 Pamille Place,NB,,41,"{u'type': u'Point', u'coordinates': (-79.500654, 43.701353)}",30,Weekdays from 7 AM - 9 PM,191,Tedder St NB ,40,2019-03-11T08:00:00,46.0,5
101,45 Comay Road,NB,,31,"{u'type': u'Point', u'coordinates': (-79.479681, 43.69716)}",20,Weekdays from 7 AM - 9 PM,200,Comay Rd NB ,30,2019-03-06T11:00:00,36.0,5
102,86 Guestville Avenue,SB,,31,"{u'type': u'Point', u'coordinates': (-79.489758, 43.684437)}",20,Weekdays from 7 AM - 9 PM,242,Guestville Ave SB ,30,2019-03-11T06:00:00,36.0,5
103,994 Jane Street,SB,,51,"{u'type': u'Point', u'coordinates': (-79.49836, 43.682598)}",30,Weekdays from 7 AM - 9 PM,256,Jane St SB ,50,2019-03-20T06:00:00,56.0,5
104,80 McCormack Street,WB,,41,"{u'type': u'Point', u'coordinates': (-79.476937, 43.676097)}",30,Weekdays from 7 AM - 9 PM,356,McCormack St WB ,40,2018-01-11T11:00:00,46.0,5
105,25 Porter Avenue,SB,,41,"{u'type': u'Point', u'coordinates': (-79.479179, 43.681759)}",30,Weekdays from 7 AM - 9 PM,457,Avon Ave SB ,40,2017-12-13T16:00:00,46.0,5
106,62 Lambton Avenue,WB,,41,"{u'type': u'Point', u'coordinates': (-79.488191, 43.683352)}",30,Weekdays from 7 AM - 9 PM,482,Lambton Ave WB ,40,2019-03-11T06:00:00,46.0,5
